1,277416,690755,571407,JB Nizet,false,0,1353833469,1353833469,13549573,13548985,"<p>There is a fundamental problem in the design: there is no way, with your current database design, to know which cities belong to which state.</p>

<p>The tables should look like that:</p>

<pre><code>State
    - id
    - name

City
    - id
    - name
    - state_id (foreign key to State.id)
</code></pre>

<p>And the SQL query to get the cities of a given state ID would thus simply look like this:</p>

<pre><code>select city.id, city.name from city
where city.state_id = ?
order by city.name
</code></pre>
"
2,2360785,12217,2067492,matt,false,1,1733832032,1733830344,79268079,79267926,"<p>Here is an example using the UIManager, the thing is my default look and feel doesn't use a disabled background color, maybe yours does.</p>
<pre><code>import javax.swing.*;
import java.awt.BorderLayout;
import java.awt.*;
import javax.swing.plaf.*;
public class DisabledWhiteTextField{

  public static void main(String[] args){

    UIManager.put(&quot;TextField.inactiveForeground&quot;, new ColorUIResource(Color.BLUE));
    UIManager.put(&quot;TextField.background&quot;, new ColorUIResource(Color.WHITE));

    //This is just for debugging to see what the current LAF recognizes. maybe.
    UIManager.getLookAndFeelDefaults().forEach( (k, v) -&gt;{
        System.out.println(k + &quot;, &quot; + v );}
    );
    JFrame frame = new JFrame(&quot;text&quot;);
    JTextField field = new JTextField(40);

    field.setEnabled(false);
    field.setText(&quot;what&quot;);
    frame.add(new JLabel(&quot;below&quot;), BorderLayout.NORTH);

    frame.add(field, BorderLayout.CENTER);
    JTextField two = new JTextField(40);
    two.setText(&quot;ever&quot;);
    frame.add(two, BorderLayout.SOUTH);
    frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
    frame.pack();
    frame.setVisible(true);

  }

}
</code></pre>
<p>This works to set the disabled text to non-gray for me.</p>
<p><a href=""https://i.sstatic.net/Z4ATNzUm.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/Z4ATNzUm.png"" alt=""two text fields, one disabled"" /></a></p>
<p>After playing around with it a bit, I found the values are different for the different look and feels.</p>
<pre><code>UIManager.put(&quot;TextField.disabledBackground&quot;, new ColorUIResource(Color.BLUE));
UIManager.put(&quot;TextField.inactiveForeground&quot;, new ColorUIResource(Color.YELLOW));
</code></pre>
<p>That lets me see the values for a windows look and feel.</p>
"
3,10728310,53,7895169,KonradK,false,0,1733832016,1733832016,79268157,69676960,"<p>This is more of a workaround than a solution and has limited usage but for me it was enough to set <code>merger.setDocumentMergeMode(PDFMergerUtility.DocumentMergeMode.OPTIMIZE_RESOURCES_MODE); </code></p>
"
4,93948,536,256788,Petri Pellinen,true,4,1733831909,1302038129,5558626,5558499,"<p>Something like this, maybe?</p>
<pre><code>    final Pattern p = Pattern.compile(&quot;(.+?)&lt;(.*?)&gt;&quot;);
    final Matcher matcher = p.matcher(&quot;Foo bar &lt;xxx-yyy@aaa.bbb&gt;&quot;);
    if (matcher.matches()) {
         System.out.println(matcher.group(2));
    }
</code></pre>
"
5,329612,71911,653230,WhiteFang34,false,3,1302041609,1302041609,5559203,5558499,"<p>Since it appears you're dealing with standard format email addresses (<a href=""http://www.ietf.org/rfc/rfc0822.txt"" rel=""nofollow"">RFC 822</a>) you might want to consider using the <a href=""http://www.oracle.com/technetwork/java/javamail/index.html"" rel=""nofollow"">JavaMail API</a>. It's designed to work with everything within the spec, whereas with regex you might miss some cases. The code for what you want is simple too:</p>

<pre><code>String input = ""My team &lt;xxx-yyyy@uuuu.com&gt;"";
String email = new InternetAddress(input).getAddress();
</code></pre>
"
6,100219,1652,270277,Lucas de Oliveira,false,4,1302039390,1302039390,5558845,5558499,"<p>Actually you need to call the find() method on a Matcher object in order to walk through your string. And as Petri Pellinen stated you should check for the right grouping.</p>

<p>Try the following code:</p>

<pre><code>String str = ""My team &lt;xxx-yyyy@uuuu.com&gt;  My team &lt;xxx-yyyy@uuuu.com&gt; \n "" +
    ""My team &lt;xxx-yyyy@uucom&gt; My team &lt;xxx-yyyy@uuuu.com&gt; "" +
    ""My team &lt;xxx-yyyy@uuuu.com&gt; My team &lt;xxx-yyyy@uuuu.com&gt;"";

Pattern p = Pattern.compile(""\\&lt;(.*?)\\&gt;"");
Matcher m = p.matcher(str);

while(m.find()){
   System.out.println(m.group(1));  
}
</code></pre>

<p>and check the groups fetched.</p>

<p>Results are:</p>

<pre><code>xxx-yyyy@uuuu.com
xxx-yyyy@uuuu.com
xxx-yyyy@uucom
xxx-yyyy@uuuu.com
xxx-yyyy@uuuu.com
xxx-yyyy@uuuu.com
</code></pre>

<p>cheers!</p>
"
7,2347246,1253,2057154,yusuf,false,0,1733831537,1733831537,79268135,27910561,"<p>The best way to do that is Testcontainers. Please check their documentation <a href=""https://testcontainers.com/modules/redis/"" rel=""nofollow noreferrer"">https://testcontainers.com/modules/redis/</a></p>
"
8,2360824,18109,2067527,mp911de,false,0,1422789195,1422789195,28262050,27910561,"<p>You could start redis before your tests run. This is a common way (e. g. using a <a href=""https://github.com/mp911de/lettuce/blob/master/Makefile"" rel=""nofollow"">Makefile</a>) which could result in:</p>

<ul>
<li><code>make start</code> (build, configure and start redis)</li>
<li><code>make test</code></li>
<li><code>make stop</code> (stop redis)</li>
</ul>
"
9,967134,411,990379,trevorism,false,0,1421101901,1421101901,27911866,27910561,"<p>Redis can't be run purely in memory. The best you can do is run the Redis process on the same machine your Junits are running and attach to it using localhost.</p>

<p>You could also mock the functionality of Redis if your application accesses it through an interface.</p>
"
10,30424505,1,23315111,Aref,false,-1,1733831183,1733831064,79268116,50577172,"<p>To insert a non-breaking space in PhpStorm or any software, you do not need to install Persian (Standard). This operation is not performed by the software itself; it's related to the operating system. In Windows, this can be done with the shortcut key <strong>Shift + Ctrl + 2</strong> (you must have the language set to Persian). However, in PhpStorm, this shortcut is already assigned to another function.</p>
<p>To avoid the need to install Persian (Standard) and to prevent the hassle of switching between normal and standard Persian, you need to remove this shortcut from PhpStorm. To do this, go to <strong>Settings</strong>, then navigate to the <strong>Keymap</strong> section, and search for <strong>mark</strong>. You will find the following option after scrolling down slightly:
<a href=""https://i.sstatic.net/x0j481iI.png"" rel=""nofollow noreferrer"">enter image description here</a></p>
<p>As you can see in the screenshot, I removed the option <strong>Toggle Bookmark 2</strong>, which was assigned to the shortcut <strong>Ctrl + Shift + 2</strong>. From now on, without needing to install Persian (Standard), I can create a non-breaking space using this default Persian language in the operating system by pressing <strong>Ctrl + Shift + 2</strong>.</p>
<p>If you have any questions about working with editors, please message me on Telegram at @arefalapour.</p>
<p>Thank you!</p>
"
